id,level,state_name,district_name,year,quarter,count,amount
481,state,haryana,,2021,2,105680856,200357354238.6818
482,state,rajasthan,,2021,2,287477039,561702765169.2324
483,state,ladakh,,2021,2,399716,1427259095.4703174
484,state,punjab,,2021,2,32171248,69531058562.6159
485,state,assam,,2021,2,25432905,59192473376.66449
486,state,jharkhand,,2021,2,54002145,104432643311.45735
487,state,odisha,,2021,2,131824337,245864117477.27853
488,state,bihar,,2021,2,155603622,374580255186.58875
489,state,kerala,,2021,2,47191033,74226806436.15614
490,state,karnataka,,2021,2,530649046,837887151230.051
491,state,chandigarh,,2021,2,4417547,8417673939.9361
492,state,telangana,,2021,2,495867544,1027958332797.5902
493,state,himachal pradesh,,2021,2,9483902,16495634539.809265
494,state,west bengal,,2021,2,141897437,279434811058.5615
495,state,gujarat,,2021,2,111841396,210162054552.1156
496,state,sikkim,,2021,2,976714,2424899579.6753
497,state,nagaland,,2021,2,1130791,3156293963.781851
498,state,mizoram,,2021,2,394340,1122874473.3020918
